date,tripduration,start_station_name_old,start_station_id,starttime,end_station_name_old,end_station_id,stoptime,birth_year,age,per_day,hour,week_day,weekend,holiday,start_station_name,end_station_name,lat_start,lon_start,lat_end,lon_end,distance
2022-01-01,4514.0,262 - Colégio Santa Cruz,262.0,2022-01-01 17:09:59,262 - Colégio Santa Cruz,262.0,2022-01-01 18:25:13,1986-01-01 00:00:00,36.0,2022-01-01,17,5,True,False,Colégio Santa Cruz,Colégio Santa Cruz,-23.5501563898634,-46.7175712669578,-23.5501563898634,-46.7175712669578,0.0
2022-01-01,676.0,1 - Largo da Batata,1.0,2022-01-01 05:11:19,138 - Chilon,138.0,2022-01-01 05:22:35,1986-01-01 00:00:00,36.0,2022-01-01,5,5,True,False,Largo da Batata,Chilon,-23.5668309564147,-46.6937412022694,-23.5936014851943,-46.6800723302731,3.411
2022-01-01,1624.0,296 - Largo Ana Rosa,296.0,2022-01-01 13:11:37,171 - Praça da Liberdade,171.0,2022-01-01 13:38:41,2019-01-01 00:00:00,3.0,2022-01-01,13,5,True,False,Largo Ana Rosa,Praça da Liberdade,-23.5808723459433,-46.6389882042411,-23.55507044,-46.63565212,3.317
2022-01-01,2579.0,345 - R. Henrique Fischer,345.0,2022-01-01 15:33:21,345 - R. Henrique Fischer,345.0,2022-01-01 16:16:20,1979-01-01 00:00:00,43.0,2022-01-01,15,5,True,False,R. Henrique Fischer,R. Henrique Fischer,-23.6194058975209,-46.6965638090644,-23.6194058975209,-46.6965638090644,0.0
2022-01-01,9576.0,345 - R. Henrique Fischer,345.0,2022-01-01 12:51:57,345 - R. Henrique Fischer,345.0,2022-01-01 15:31:33,1979-01-01 00:00:00,43.0,2022-01-01,12,5,True,False,R. Henrique Fischer,R. Henrique Fischer,-23.6194058975209,-46.6965638090644,-23.6194058975209,-46.6965638090644,0.0
2022-01-01,2290.0,355 - R. Dr. Rafael de Barros,355.0,2022-01-01 19:10:55,100 - Itaú Cultural,100.0,2022-01-01 19:49:05,1991-01-01 00:00:00,31.0,2022-01-01,19,5,True,False,R. Dr. Rafael de Barros,Itaú Cultural,-23.5727122052325,-46.6465303687604,-23.570439240226,-46.6458343207028,0.451
2022-01-01,2161.0,311 - Luis Góis,311.0,2022-01-01 17:42:33,295 - Vergueiro,295.0,2022-01-01 18:18:34,1990-01-01 00:00:00,32.0,2022-01-01,17,5,True,False,Luis Góis,Vergueiro,-23.6042263595434,-46.6369958975112,-23.5844511087101,-46.6364894393958,3.06
2022-01-01,2750.0,99 - Parque da Água Branca,99.0,2022-01-01 14:32:13,99 - Parque da Água Branca,99.0,2022-01-01 15:18:03,1977-01-01 00:00:00,45.0,2022-01-01,14,5,True,False,Parque da Água Branca,Parque da Água Branca,-23.5316825837021,-46.6683997647917,-23.5316825837021,-46.6683997647917,0.0
2022-01-01,9138.0,173 - Largo de São Bento,173.0,2022-01-01 16:19:48,282 - Cunha Horta,282.0,2022-01-01 18:52:06,1984-01-01 00:00:00,38.0,2022-01-01,16,5,True,False,Largo de São Bento,Cunha Horta,-23.54402567,-46.63454504,-23.54477907,-46.64896706,2.725
2022-01-01,3759.0,173 - Largo de São Bento,173.0,2022-01-01 18:44:22,173 - Largo de São Bento,173.0,2022-01-01 19:47:01,1964-01-01 00:00:00,58.0,2022-01-01,18,5,True,False,Largo de São Bento,Largo de São Bento,-23.54402567,-46.63454504,-23.54402567,-46.63454504,0.0
