address,capacity,lat,lon,name,project
109 - Praça Oswaldo Varella,19,-23.603375,-46.692587,109 - Praça Oswaldo Varella,BikeSampa
110 - Flórida 1670,15,-23.607328,-46.694248,110 - Flórida 1670,BikeSampa
111 - CENU TEMPORÁRIA,11,-23.60998,-46.69641,111 - CENU TEMPORÁRIA,BikeSampa
112 - R. Lee de Forest,15,-23.6121495,-46.6957282,112 - R. Lee de Forest,BikeSampa
Rua Andrade Pertence,11,-23.603846,-46.677037,113 - Rua Andrade Pertence,BikeSampa
114 - Rua Alvorada,15,-23.601327,-46.681552,114 - Rua Alvorada,BikeSampa
Praça Procopio Ferreira,19,-23.6001071,-46.6894299,115 - Praça Procopio Ferreira,BikeSampa
116 - Praça Dr. Francisco Patti,15,-23.599341,-46.687151,116 - Praça Dr. Francisco Patti,BikeSampa
117 - Cubo Itaú,23,-23.5965902,-46.686423,117 - Cubo Itaú,BikeSampa
118 - Rua Júlio Diniz,19,-23.59775,-46.684073,118 - Rua Júlio Diniz,BikeSampa
119 - Rua Quatá,11,-23.597089,-46.680457,119 - Rua Quatá,BikeSampa
Rua Gomes de Carvalho,15,-23.599571,-46.679913,120 - Rua Gomes de Carvalho,BikeSampa
121 - Insper,23,-23.597702,-46.677695,121 - Insper,BikeSampa
122 - Rua Baluarte,15,-23.6011147,-46.6753273,122 - Rua Baluarte,BikeSampa
123 - Rua Egito,15,-23.5943765,-46.6739414,123 - Rua Egito,BikeSampa
Praça PereIra Coutinho,11,-23.594013,-46.669702,124 - Praça PereIra Coutinho,BikeSampa
125 - Natividade,10,-23.597273,-46.67159,125 - Natividade,BikeSampa
Graúna,11,-23.601377,-46.671169,126 - Graúna,BikeSampa
127 - Jacutinga,11,-23.600513,-46.668861,127 - Jacutinga,BikeSampa
128 - R. Sampaio Góis,19,-23.597182,-46.66705,128 - R. Sampaio Góis,BikeSampa
Sabiá,11,-23.599832,-46.666141,129 - Sabiá,BikeSampa
131 - Pq. Ibirapuera Portão 06,11,-23.593513,-46.659608,131 - Pq. Ibirapuera Portão 06,BikeSampa
132 - Pq. Ibirapuera Portão 05,11,-23.592008,-46.655227,132 - Pq. Ibirapuera Portão 05,BikeSampa
133 - Avenida Ibirapuera,11,-23.594628,-46.655001,133 - Avenida Ibirapuera,BikeSampa
137 - Rua do Rocio,23,-23.594366,-46.686919,137 - Rua do Rocio,BikeSampa
138 - Chilon,23,-23.593602,-46.679896,138 - Chilon,BikeSampa
140 - JK Iguatemi,18,-23.5907522,-46.6888262,140 - JK Iguatemi,BikeSampa
141 - Praça Luis Carlos Paraná,23,-23.582617,-46.6839963,141 - Praça Luis Carlos Paraná,BikeSampa
143- Rua João Cachoeira,23,-23.5841927,-46.6780063,143- Rua João Cachoeira,BikeSampa
144 - Rua Iguatemi,23,-23.5871339,-46.6810805,144 - Rua Iguatemi,BikeSampa
145 - CPTM BERRINI,11,-23.6047443,-46.6962398,145 - CPTM BERRINI,BikeSampa
147 - Rua Min Jesuíno Cardoso II,35,-23.592339,-46.6803037,147 - Rua Min Jesuíno Cardoso II,BikeSampa
148 - R. Maria Figueiredo,11,-23.571787,-46.649986,148 - R. Maria Figueiredo,BikeSampa
Rua Afonso de Freitas,11,-23.574977,-46.644256,149 - Rua Afonso de Freitas,BikeSampa
150 - Metrô Paraiso,19,-23.575408,-46.641621,150 - Metrô Paraiso,BikeSampa
268 - Hotel Maksoud Plaza,11,-23.563366,-46.651175,268 - Hotel Maksoud Plaza,BikeSampa
189 - CEMG FARIA LIMA,23,-23.570658,-46.690528,189 - CEMG FARIA LIMA,BikeSampa
201 - Metro Sumaré,27,-23.5517205,-46.6780394,201 - Metro Sumaré,BikeSampa
202 - Arruda Alvim,23,-23.5551642,-46.6741127,202 - Arruda Alvim,BikeSampa
203 - Capote Valente 822,15,-23.554837,-46.677467,203 - Capote Valente 822,BikeSampa
204- Consolação,19,-23.5570626,-46.6645022,204- Consolação,BikeSampa
205 - Alameda Itú 1579,11,-23.5579722,-46.6661783,205 - Alameda Itú 1579,BikeSampa
207 - Bela Cintra,15,-23.561914,-46.667605,207 - Bela Cintra,BikeSampa
208 - Rua Dr. Melo Alves,23,-23.561165,-46.670801,208 - Rua Dr. Melo Alves,BikeSampa
209 - Haddock Lobo,15,-23.5650021,-46.669324,209 - Haddock Lobo,BikeSampa
210 - Capote Valente 429,11,-23.557965,-46.675308,210 - Capote Valente 429,BikeSampa
211 - Capote Valente,19,-23.5599793,-46.6738799,211 - Capote Valente,BikeSampa
212 - R. Estados Unidos,15,-23.563354,-46.673044,212 - R. Estados Unidos,BikeSampa
213 - Guadelupe,15,-23.56505,-46.672448,213 - Guadelupe,BikeSampa
214 - João Moura,15,-23.5571033,-46.6797917,214 - João Moura,BikeSampa
215 - E.E. Godofredo Furtado,15,-23.55939,-46.678393,215 - E.E. Godofredo Furtado,BikeSampa
216 - João Moura 328,15,-23.562089,-46.676471,216 - João Moura 328,BikeSampa
217 - Alameda Gabriel,19,-23.5651717,-46.676435,217 - Alameda Gabriel,BikeSampa
