index,Unnamed: 0,NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,geometry,lat,lon
162,162,163,Vila Isolina Mazzei,36,São Paulo,88,Vila Guilherme,379.5,POINT (-46.60334819467893 -23.50266109421787),-23.502661094217874,-46.60334819467893
163,163,164,Vila Guilherme,36,São Paulo,88,Vila Guilherme,170.9,POINT (-46.60196286392122 -23.51908476566033),-23.519084765660327,-46.601962863921216
164,164,165,Coroa,36,São Paulo,88,Vila Guilherme,174.39,POINT (-46.61346594578148 -23.51357411241457),-23.51357411241457,-46.61346594578148
165,165,166,Gomes Cardim,36,São Paulo,82,Tatuapé,243.24,POINT (-46.5615515221368 -23.54590822284772),-23.545908222847718,-46.561551522136796
166,166,167,Tatuapé,36,São Paulo,82,Tatuapé,156.88,POINT (-46.57353232526871 -23.546229650617),-23.546229650616997,-46.57353232526871
167,167,168,Chácara do Piqueri,36,São Paulo,82,Tatuapé,198.59,POINT (-46.57630299848496 -23.53298287579386),-23.53298287579386,-46.576302998484955
168,168,169,Parque São Jorge,36,São Paulo,82,Tatuapé,252.07,POINT (-46.56121740304332 -23.53099733052579),-23.530997330525786,-46.561217403043315
169,169,170,Penha,36,São Paulo,60,Penha,384.16,POINT (-46.54828926751944 -23.52137205389795),-23.521372053897945,-46.548289267519436
170,170,171,Tiquatira,36,São Paulo,60,Penha,324.46,POINT (-46.53212453298978 -23.52223920485225),-23.522239204852248,-46.532124532989776
171,171,172,Vila Esperança,36,São Paulo,60,Penha,228.82,POINT (-46.51770813908769 -23.52387308377316),-23.52387308377316,-46.51770813908769
172,172,173,Vila Ré,36,São Paulo,60,Penha,208.23,POINT (-46.49837622346982 -23.52680315471017),-23.526803154710173,-46.49837622346982
173,173,174,Rui Barbosa,36,São Paulo,18,Cangaíba,271.23,POINT (-46.50281963185796 -23.50083844308951),-23.500838443089513,-46.50281963185796
174,174,175,Estação Eng. Goulart,36,São Paulo,18,Cangaíba,193.33,POINT (-46.51439637239123 -23.50302877565345),-23.503028775653448,-46.514396372391225
175,175,176,Cangaíba,36,São Paulo,18,Cangaíba,333.53,POINT (-46.53128091995156 -23.50773839091261),-23.50773839091261,-46.53128091995156
