i,j,geometry
17,10,"POLYGON ((-46.57980000000001 -23.4564, -46.57980000000001 -23.4239, -46.5988 -23.4239, -46.5988 -23.4564, -46.57980000000001 -23.4564))"
17,11,"POLYGON ((-46.56080000000001 -23.4564, -46.56080000000001 -23.4239, -46.57980000000001 -23.4239, -46.57980000000001 -23.4564, -46.56080000000001 -23.4564))"
17,12,"POLYGON ((-46.5418 -23.4564, -46.5418 -23.4239, -46.56080000000001 -23.4239, -46.56080000000001 -23.4564, -46.5418 -23.4564))"
17,13,"POLYGON ((-46.5228 -23.4564, -46.5228 -23.4239, -46.5418 -23.4239, -46.5418 -23.4564, -46.5228 -23.4564))"
17,14,"POLYGON ((-46.50380000000001 -23.4564, -46.50380000000001 -23.4239, -46.5228 -23.4239, -46.5228 -23.4564, -46.50380000000001 -23.4564))"
17,15,"POLYGON ((-46.48480000000001 -23.4564, -46.48480000000001 -23.4239, -46.50380000000001 -23.4239, -46.50380000000001 -23.4564, -46.48480000000001 -23.4564))"
17,16,"POLYGON ((-46.46580000000001 -23.4564, -46.46580000000001 -23.4239, -46.48480000000001 -23.4239, -46.48480000000001 -23.4564, -46.46580000000001 -23.4564))"
17,17,"POLYGON ((-46.4468 -23.4564, -46.4468 -23.4239, -46.46580000000001 -23.4239, -46.46580000000001 -23.4564, -46.4468 -23.4564))"
17,18,"POLYGON ((-46.4278 -23.4564, -46.4278 -23.4239, -46.4468 -23.4239, -46.4468 -23.4564, -46.4278 -23.4564))"
17,19,"POLYGON ((-46.40880000000001 -23.4564, -46.40880000000001 -23.4239, -46.4278 -23.4239, -46.4278 -23.4564, -46.40880000000001 -23.4564))"
18,0,"POLYGON ((-46.7698 -23.4239, -46.7698 -23.3914, -46.7888 -23.3914, -46.7888 -23.4239, -46.7698 -23.4239))"
18,1,"POLYGON ((-46.75080000000001 -23.4239, -46.75080000000001 -23.3914, -46.7698 -23.3914, -46.7698 -23.4239, -46.75080000000001 -23.4239))"
18,2,"POLYGON ((-46.7318 -23.4239, -46.7318 -23.3914, -46.75080000000001 -23.3914, -46.75080000000001 -23.4239, -46.7318 -23.4239))"
18,3,"POLYGON ((-46.7128 -23.4239, -46.7128 -23.3914, -46.7318 -23.3914, -46.7318 -23.4239, -46.7128 -23.4239))"
18,4,"POLYGON ((-46.6938 -23.4239, -46.6938 -23.3914, -46.7128 -23.3914, -46.7128 -23.4239, -46.6938 -23.4239))"
18,5,"POLYGON ((-46.6748 -23.4239, -46.6748 -23.3914, -46.6938 -23.3914, -46.6938 -23.4239, -46.6748 -23.4239))"
18,6,"POLYGON ((-46.65580000000001 -23.4239, -46.65580000000001 -23.3914, -46.6748 -23.3914, -46.6748 -23.4239, -46.65580000000001 -23.4239))"
18,7,"POLYGON ((-46.6368 -23.4239, -46.6368 -23.3914, -46.65580000000001 -23.3914, -46.65580000000001 -23.4239, -46.6368 -23.4239))"
18,8,"POLYGON ((-46.6178 -23.4239, -46.6178 -23.3914, -46.6368 -23.3914, -46.6368 -23.4239, -46.6178 -23.4239))"
18,9,"POLYGON ((-46.5988 -23.4239, -46.5988 -23.3914, -46.6178 -23.3914, -46.6178 -23.4239, -46.5988 -23.4239))"
18,10,"POLYGON ((-46.57980000000001 -23.4239, -46.57980000000001 -23.3914, -46.5988 -23.3914, -46.5988 -23.4239, -46.57980000000001 -23.4239))"
18,11,"POLYGON ((-46.56080000000001 -23.4239, -46.56080000000001 -23.3914, -46.57980000000001 -23.3914, -46.57980000000001 -23.4239, -46.56080000000001 -23.4239))"
18,12,"POLYGON ((-46.5418 -23.4239, -46.5418 -23.3914, -46.56080000000001 -23.3914, -46.56080000000001 -23.4239, -46.5418 -23.4239))"
18,13,"POLYGON ((-46.5228 -23.4239, -46.5228 -23.3914, -46.5418 -23.3914, -46.5418 -23.4239, -46.5228 -23.4239))"
18,14,"POLYGON ((-46.50380000000001 -23.4239, -46.50380000000001 -23.3914, -46.5228 -23.3914, -46.5228 -23.4239, -46.50380000000001 -23.4239))"
18,15,"POLYGON ((-46.48480000000001 -23.4239, -46.48480000000001 -23.3914, -46.50380000000001 -23.3914, -46.50380000000001 -23.4239, -46.48480000000001 -23.4239))"
18,16,"POLYGON ((-46.46580000000001 -23.4239, -46.46580000000001 -23.3914, -46.48480000000001 -23.3914, -46.48480000000001 -23.4239, -46.46580000000001 -23.4239))"
18,17,"POLYGON ((-46.4468 -23.4239, -46.4468 -23.3914, -46.46580000000001 -23.3914, -46.46580000000001 -23.4239, -46.4468 -23.4239))"
18,18,"POLYGON ((-46.4278 -23.4239, -46.4278 -23.3914, -46.4468 -23.3914, -46.4468 -23.4239, -46.4278 -23.4239))"
18,19,"POLYGON ((-46.40880000000001 -23.4239, -46.40880000000001 -23.3914, -46.4278 -23.3914, -46.4278 -23.4239, -46.40880000000001 -23.4239))"
19,0,"POLYGON ((-46.7698 -23.3914, -46.7698 -23.3589, -46.7888 -23.3589, -46.7888 -23.3914, -46.7698 -23.3914))"
19,1,"POLYGON ((-46.75080000000001 -23.3914, -46.75080000000001 -23.3589, -46.7698 -23.3589, -46.7698 -23.3914, -46.75080000000001 -23.3914))"
19,2,"POLYGON ((-46.7318 -23.3914, -46.7318 -23.3589, -46.75080000000001 -23.3589, -46.75080000000001 -23.3914, -46.7318 -23.3914))"
19,3,"POLYGON ((-46.7128 -23.3914, -46.7128 -23.3589, -46.7318 -23.3589, -46.7318 -23.3914, -46.7128 -23.3914))"
19,4,"POLYGON ((-46.6938 -23.3914, -46.6938 -23.3589, -46.7128 -23.3589, -46.7128 -23.3914, -46.6938 -23.3914))"
19,5,"POLYGON ((-46.6748 -23.3914, -46.6748 -23.3589, -46.6938 -23.3589, -46.6938 -23.3914, -46.6748 -23.3914))"
19,6,"POLYGON ((-46.65580000000001 -23.3914, -46.65580000000001 -23.3589, -46.6748 -23.3589, -46.6748 -23.3914, -46.65580000000001 -23.3914))"
19,7,"POLYGON ((-46.6368 -23.3914, -46.6368 -23.3589, -46.65580000000001 -23.3589, -46.65580000000001 -23.3914, -46.6368 -23.3914))"
19,8,"POLYGON ((-46.6178 -23.3914, -46.6178 -23.3589, -46.6368 -23.3589, -46.6368 -23.3914, -46.6178 -23.3914))"
19,9,"POLYGON ((-46.5988 -23.3914, -46.5988 -23.3589, -46.6178 -23.3589, -46.6178 -23.3914, -46.5988 -23.3914))"
19,10,"POLYGON ((-46.57980000000001 -23.3914, -46.57980000000001 -23.3589, -46.5988 -23.3589, -46.5988 -23.3914, -46.57980000000001 -23.3914))"
19,11,"POLYGON ((-46.56080000000001 -23.3914, -46.56080000000001 -23.3589, -46.57980000000001 -23.3589, -46.57980000000001 -23.3914, -46.56080000000001 -23.3914))"
19,12,"POLYGON ((-46.5418 -23.3914, -46.5418 -23.3589, -46.56080000000001 -23.3589, -46.56080000000001 -23.3914, -46.5418 -23.3914))"
19,13,"POLYGON ((-46.5228 -23.3914, -46.5228 -23.3589, -46.5418 -23.3589, -46.5418 -23.3914, -46.5228 -23.3914))"
19,14,"POLYGON ((-46.50380000000001 -23.3914, -46.50380000000001 -23.3589, -46.5228 -23.3589, -46.5228 -23.3914, -46.50380000000001 -23.3914))"
19,15,"POLYGON ((-46.48480000000001 -23.3914, -46.48480000000001 -23.3589, -46.50380000000001 -23.3589, -46.50380000000001 -23.3914, -46.48480000000001 -23.3914))"
19,16,"POLYGON ((-46.46580000000001 -23.3914, -46.46580000000001 -23.3589, -46.48480000000001 -23.3589, -46.48480000000001 -23.3914, -46.46580000000001 -23.3914))"
19,17,"POLYGON ((-46.4468 -23.3914, -46.4468 -23.3589, -46.46580000000001 -23.3589, -46.46580000000001 -23.3914, -46.4468 -23.3914))"
19,18,"POLYGON ((-46.4278 -23.3914, -46.4278 -23.3589, -46.4468 -23.3589, -46.4468 -23.3914, -46.4278 -23.3914))"
19,19,"POLYGON ((-46.40880000000001 -23.3914, -46.40880000000001 -23.3589, -46.4278 -23.3589, -46.4278 -23.3914, -46.40880000000001 -23.3914))"
