i,j,geometry
3,14,"POLYGON ((-46.50380000000001 -23.9114, -46.50380000000001 -23.8789, -46.5228 -23.8789, -46.5228 -23.9114, -46.50380000000001 -23.9114))"
3,15,"POLYGON ((-46.48480000000001 -23.9114, -46.48480000000001 -23.8789, -46.50380000000001 -23.8789, -46.50380000000001 -23.9114, -46.48480000000001 -23.9114))"
3,16,"POLYGON ((-46.46580000000001 -23.9114, -46.46580000000001 -23.8789, -46.48480000000001 -23.8789, -46.48480000000001 -23.9114, -46.46580000000001 -23.9114))"
3,17,"POLYGON ((-46.4468 -23.9114, -46.4468 -23.8789, -46.46580000000001 -23.8789, -46.46580000000001 -23.9114, -46.4468 -23.9114))"
3,18,"POLYGON ((-46.4278 -23.9114, -46.4278 -23.8789, -46.4468 -23.8789, -46.4468 -23.9114, -46.4278 -23.9114))"
3,19,"POLYGON ((-46.40880000000001 -23.9114, -46.40880000000001 -23.8789, -46.4278 -23.8789, -46.4278 -23.9114, -46.40880000000001 -23.9114))"
4,0,"POLYGON ((-46.7698 -23.8789, -46.7698 -23.8464, -46.7888 -23.8464, -46.7888 -23.8789, -46.7698 -23.8789))"
4,1,"POLYGON ((-46.75080000000001 -23.8789, -46.75080000000001 -23.8464, -46.7698 -23.8464, -46.7698 -23.8789, -46.75080000000001 -23.8789))"
4,2,"POLYGON ((-46.7318 -23.8789, -46.7318 -23.8464, -46.75080000000001 -23.8464, -46.75080000000001 -23.8789, -46.7318 -23.8789))"
4,3,"POLYGON ((-46.7128 -23.8789, -46.7128 -23.8464, -46.7318 -23.8464, -46.7318 -23.8789, -46.7128 -23.8789))"
4,4,"POLYGON ((-46.6938 -23.8789, -46.6938 -23.8464, -46.7128 -23.8464, -46.7128 -23.8789, -46.6938 -23.8789))"
4,5,"POLYGON ((-46.6748 -23.8789, -46.6748 -23.8464, -46.6938 -23.8464, -46.6938 -23.8789, -46.6748 -23.8789))"
4,6,"POLYGON ((-46.65580000000001 -23.8789, -46.65580000000001 -23.8464, -46.6748 -23.8464, -46.6748 -23.8789, -46.65580000000001 -23.8789))"
4,7,"POLYGON ((-46.6368 -23.8789, -46.6368 -23.8464, -46.65580000000001 -23.8464, -46.65580000000001 -23.8789, -46.6368 -23.8789))"
4,8,"POLYGON ((-46.6178 -23.8789, -46.6178 -23.8464, -46.6368 -23.8464, -46.6368 -23.8789, -46.6178 -23.8789))"
4,9,"POLYGON ((-46.5988 -23.8789, -46.5988 -23.8464, -46.6178 -23.8464, -46.6178 -23.8789, -46.5988 -23.8789))"
4,10,"POLYGON ((-46.57980000000001 -23.8789, -46.57980000000001 -23.8464, -46.5988 -23.8464, -46.5988 -23.8789, -46.57980000000001 -23.8789))"
4,11,"POLYGON ((-46.56080000000001 -23.8789, -46.56080000000001 -23.8464, -46.57980000000001 -23.8464, -46.57980000000001 -23.8789, -46.56080000000001 -23.8789))"
4,12,"POLYGON ((-46.5418 -23.8789, -46.5418 -23.8464, -46.56080000000001 -23.8464, -46.56080000000001 -23.8789, -46.5418 -23.8789))"
4,13,"POLYGON ((-46.5228 -23.8789, -46.5228 -23.8464, -46.5418 -23.8464, -46.5418 -23.8789, -46.5228 -23.8789))"
4,14,"POLYGON ((-46.50380000000001 -23.8789, -46.50380000000001 -23.8464, -46.5228 -23.8464, -46.5228 -23.8789, -46.50380000000001 -23.8789))"
4,15,"POLYGON ((-46.48480000000001 -23.8789, -46.48480000000001 -23.8464, -46.50380000000001 -23.8464, -46.50380000000001 -23.8789, -46.48480000000001 -23.8789))"
4,16,"POLYGON ((-46.46580000000001 -23.8789, -46.46580000000001 -23.8464, -46.48480000000001 -23.8464, -46.48480000000001 -23.8789, -46.46580000000001 -23.8789))"
4,17,"POLYGON ((-46.4468 -23.8789, -46.4468 -23.8464, -46.46580000000001 -23.8464, -46.46580000000001 -23.8789, -46.4468 -23.8789))"
4,18,"POLYGON ((-46.4278 -23.8789, -46.4278 -23.8464, -46.4468 -23.8464, -46.4468 -23.8789, -46.4278 -23.8789))"
4,19,"POLYGON ((-46.40880000000001 -23.8789, -46.40880000000001 -23.8464, -46.4278 -23.8464, -46.4278 -23.8789, -46.40880000000001 -23.8789))"
5,0,"POLYGON ((-46.7698 -23.8464, -46.7698 -23.8139, -46.7888 -23.8139, -46.7888 -23.8464, -46.7698 -23.8464))"
5,1,"POLYGON ((-46.75080000000001 -23.8464, -46.75080000000001 -23.8139, -46.7698 -23.8139, -46.7698 -23.8464, -46.75080000000001 -23.8464))"
5,2,"POLYGON ((-46.7318 -23.8464, -46.7318 -23.8139, -46.75080000000001 -23.8139, -46.75080000000001 -23.8464, -46.7318 -23.8464))"
5,3,"POLYGON ((-46.7128 -23.8464, -46.7128 -23.8139, -46.7318 -23.8139, -46.7318 -23.8464, -46.7128 -23.8464))"
5,4,"POLYGON ((-46.6938 -23.8464, -46.6938 -23.8139, -46.7128 -23.8139, -46.7128 -23.8464, -46.6938 -23.8464))"
5,5,"POLYGON ((-46.6748 -23.8464, -46.6748 -23.8139, -46.6938 -23.8139, -46.6938 -23.8464, -46.6748 -23.8464))"
5,6,"POLYGON ((-46.65580000000001 -23.8464, -46.65580000000001 -23.8139, -46.6748 -23.8139, -46.6748 -23.8464, -46.65580000000001 -23.8464))"
5,7,"POLYGON ((-46.6368 -23.8464, -46.6368 -23.8139, -46.65580000000001 -23.8139, -46.65580000000001 -23.8464, -46.6368 -23.8464))"
5,8,"POLYGON ((-46.6178 -23.8464, -46.6178 -23.8139, -46.6368 -23.8139, -46.6368 -23.8464, -46.6178 -23.8464))"
5,9,"POLYGON ((-46.5988 -23.8464, -46.5988 -23.8139, -46.6178 -23.8139, -46.6178 -23.8464, -46.5988 -23.8464))"
5,10,"POLYGON ((-46.57980000000001 -23.8464, -46.57980000000001 -23.8139, -46.5988 -23.8139, -46.5988 -23.8464, -46.57980000000001 -23.8464))"
5,11,"POLYGON ((-46.56080000000001 -23.8464, -46.56080000000001 -23.8139, -46.57980000000001 -23.8139, -46.57980000000001 -23.8464, -46.56080000000001 -23.8464))"
5,12,"POLYGON ((-46.5418 -23.8464, -46.5418 -23.8139, -46.56080000000001 -23.8139, -46.56080000000001 -23.8464, -46.5418 -23.8464))"
5,13,"POLYGON ((-46.5228 -23.8464, -46.5228 -23.8139, -46.5418 -23.8139, -46.5418 -23.8464, -46.5228 -23.8464))"
5,14,"POLYGON ((-46.50380000000001 -23.8464, -46.50380000000001 -23.8139, -46.5228 -23.8139, -46.5228 -23.8464, -46.50380000000001 -23.8464))"
5,15,"POLYGON ((-46.48480000000001 -23.8464, -46.48480000000001 -23.8139, -46.50380000000001 -23.8139, -46.50380000000001 -23.8464, -46.48480000000001 -23.8464))"
5,16,"POLYGON ((-46.46580000000001 -23.8464, -46.46580000000001 -23.8139, -46.48480000000001 -23.8139, -46.48480000000001 -23.8464, -46.46580000000001 -23.8464))"
