i,j,geometry,station id,index,Unnamed: 0,NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,lat,lon
11,2,"POLYGON ((-46.7318 -23.6514, -46.7318 -23.6189, -46.75080000000001 -23.6189, -46.75080000000001 -23.6514, -46.7318 -23.6514))",321,321,321,322,Vila Suzana,36,São Paulo,85,Vila Andrade,300.5,-23.62609223678386,-46.74003288467454
11,3,"POLYGON ((-46.7128 -23.6514, -46.7128 -23.6189, -46.7318 -23.6189, -46.7318 -23.6514, -46.7128 -23.6514))",320,320,320,321,Jardim Vitória Régia,36,São Paulo,85,Vila Andrade,370.18,-23.63258333451283,-46.72812070790223
11,3,"POLYGON ((-46.7128 -23.6514, -46.7128 -23.6189, -46.7318 -23.6189, -46.7318 -23.6514, -46.7128 -23.6514))",319,319,319,320,Paraisópolis,36,São Paulo,85,Vila Andrade,361.95,-23.61956254637941,-46.717908050825635
11,4,"POLYGON ((-46.6938 -23.6514, -46.6938 -23.6189, -46.7128 -23.6189, -46.7128 -23.6514, -46.6938 -23.6514))",299,299,299,300,Granja Julieta,36,São Paulo,72,Santo Amaro,616.88,-23.634426293117752,-46.70639177473286
11,5,"POLYGON ((-46.6748 -23.6514, -46.6748 -23.6189, -46.6938 -23.6189, -46.6938 -23.6514, -46.6748 -23.6514))",300,300,300,301,Chácara Flora,36,São Paulo,72,Santo Amaro,452.25,-23.641094895900988,-46.6859517058564
11,5,"POLYGON ((-46.6748 -23.6514, -46.6748 -23.6189, -46.6938 -23.6189, -46.6938 -23.6514, -46.6748 -23.6514))",267,267,267,268,Joaquim Nabuco,36,São Paulo,15,Campo Belo,198.44,-23.63035835379099,-46.67768233205555
11,5,"POLYGON ((-46.6748 -23.6514, -46.6748 -23.6189, -46.6938 -23.6189, -46.6938 -23.6514, -46.6748 -23.6514))",71,71,71,72,Vila Cordeiro,36,São Paulo,34,Itaim Bibi,176.69,-23.619401410613907,-46.691971149226745
11,6,"POLYGON ((-46.65580000000001 -23.6514, -46.65580000000001 -23.6189, -46.6748 -23.6189, -46.6748 -23.6514, -46.65580000000001 -23.6514))",272,272,272,273,Vila Santa Catarina,36,São Paulo,37,Jabaquara,325.71,-23.6498615467473,-46.66000779005191
11,6,"POLYGON ((-46.65580000000001 -23.6514, -46.65580000000001 -23.6189, -46.6748 -23.6189, -46.6748 -23.6514, -46.65580000000001 -23.6514))",270,270,270,271,Congonhas,36,São Paulo,15,Campo Belo,179.42,-23.627724562120964,-46.65643017883954
11,6,"POLYGON ((-46.65580000000001 -23.6514, -46.65580000000001 -23.6189, -46.6748 -23.6189, -46.6748 -23.6514, -46.65580000000001 -23.6514))",271,271,271,272,Jardim Aeroporto,36,São Paulo,15,Campo Belo,198.55,-23.63696854670205,-46.66284486985234
11,6,"POLYGON ((-46.65580000000001 -23.6514, -46.65580000000001 -23.6189, -46.6748 -23.6189, -46.6748 -23.6514, -46.65580000000001 -23.6514))",268,268,268,269,Vieira de Moraes,36,São Paulo,15,Campo Belo,171.28,-23.623440476663603,-46.67260153016355
11,7,"POLYGON ((-46.6368 -23.6514, -46.6368 -23.6189, -46.65580000000001 -23.6189, -46.65580000000001 -23.6514, -46.6368 -23.6514))",273,273,273,274,Jabaquara,36,São Paulo,37,Jabaquara,288.72,-23.643787066984693,-46.64656578604078
11,8,"POLYGON ((-46.6178 -23.6514, -46.6178 -23.6189, -46.6368 -23.6189, -46.6368 -23.6514, -46.6178 -23.6514))",247,247,247,248,Parque do Estado,36,São Paulo,27,Cursino,445.41,-23.651236711804252,-46.62266748215662
11,8,"POLYGON ((-46.6178 -23.6514, -46.6178 -23.6189, -46.6368 -23.6189, -46.6368 -23.6514, -46.6178 -23.6514))",274,274,274,275,Cidade Vargas,36,São Paulo,37,Jabaquara,347.45,-23.640785709822786,-46.634501410015055
11,8,"POLYGON ((-46.6178 -23.6514, -46.6178 -23.6189, -46.6368 -23.6189, -46.6368 -23.6514, -46.6178 -23.6514))",248,248,248,249,Água Funda,36,São Paulo,27,Cursino,276.3,-23.631409343057697,-46.61986526512715
11,8,"POLYGON ((-46.6178 -23.6514, -46.6178 -23.6189, -46.6368 -23.6189, -46.6368 -23.6514, -46.6178 -23.6514))",58,58,58,59,Saúde,36,São Paulo,79,Saúde,260.81,-23.62105734739173,-46.63517513582157
11,9,"POLYGON ((-46.5988 -23.6514, -46.5988 -23.6189, -46.6178 -23.6189, -46.6178 -23.6514, -46.5988 -23.6514))",246,246,246,247,Vila das Mercês,36,São Paulo,69,Sacomã,468.94,-23.64019490013597,-46.60562600627825
11,10,"POLYGON ((-46.57980000000001 -23.6514, -46.57980000000001 -23.6189, -46.5988 -23.6189, -46.5988 -23.6514, -46.57980000000001 -23.6514))",245,245,245,246,Anchieta,36,São Paulo,69,Sacomã,217.08,-23.64554997534807,-46.59531981571001
11,10,"POLYGON ((-46.57980000000001 -23.6514, -46.57980000000001 -23.6189, -46.5988 -23.6189, -46.5988 -23.6514, -46.57980000000001 -23.6514))",244,244,244,245,São João Clímaco,36,São Paulo,69,Sacomã,198.15,-23.633162466950964,-46.58854249147375
11,11,"POLYGON ((-46.56080000000001 -23.6514, -46.56080000000001 -23.6189, -46.57980000000001 -23.6189, -46.57980000000001 -23.6514, -46.56080000000001 -23.6514))",418,418,418,419,Estrada das Lágrimas,34,São Caetano do Sul,130,São Caetano do Sul,360.05,-23.639878552686863,-46.57261940335541
11,11,"POLYGON ((-46.56080000000001 -23.6514, -46.56080000000001 -23.6189, -46.57980000000001 -23.6189, -46.57980000000001 -23.6514, -46.56080000000001 -23.6514))",419,419,419,420,Santo Antônio,34,São Caetano do Sul,130,São Caetano do Sul,133.88,-23.6226570233315,-46.57870266447506
11,11,"POLYGON ((-46.56080000000001 -23.6514, -46.56080000000001 -23.6189, -46.57980000000001 -23.6189, -46.57980000000001 -23.6514, -46.56080000000001 -23.6514))",416,416,416,417,Santa Paula,34,São Caetano do Sul,130,São Caetano do Sul,294.73,-23.622346823404804,-46.565663729399205
11,12,"POLYGON ((-46.5418 -23.6514, -46.5418 -23.6189, -46.56080000000001 -23.6189, -46.56080000000001 -23.6514, -46.5418 -23.6514))",425,425,425,426,Campestre,32,Santo André,128,Santo André,287.09,-23.63888674374561,-46.545956922316435
11,12,"POLYGON ((-46.5418 -23.6514, -46.5418 -23.6189, -46.56080000000001 -23.6189, -46.56080000000001 -23.6514, -46.5418 -23.6514))",417,417,417,418,Vila Gerti,34,São Caetano do Sul,130,São Caetano do Sul,380.18,-23.632102586765793,-46.555986219522325
11,13,"POLYGON ((-46.5228 -23.6514, -46.5228 -23.6189, -46.5418 -23.6189, -46.5418 -23.6514, -46.5228 -23.6514))",426,426,426,427,Utinga,32,Santo André,128,Santo André,566.15,-23.6232589912625,-46.535008212294436
11,14,"POLYGON ((-46.50380000000001 -23.6514, -46.50380000000001 -23.6189, -46.5228 -23.6189, -46.5228 -23.6514, -46.50380000000001 -23.6514))",429,429,429,430,Parque das Nações,32,Santo André,128,Santo André,527.79,-23.65059369129188,-46.50993134821998
11,14,"POLYGON ((-46.50380000000001 -23.6514, -46.50380000000001 -23.6189, -46.5228 -23.6189, -46.5228 -23.6514, -46.50380000000001 -23.6514))",427,427,427,428,Vila Lucinda,32,Santo André,128,Santo André,457.81,-23.62938908851305,-46.51571680903756
11,15,"POLYGON ((-46.48480000000001 -23.6514, -46.48480000000001 -23.6189, -46.50380000000001 -23.6189, -46.50380000000001 -23.6514, -46.48480000000001 -23.6514))",428,428,428,429,Parque Oratório,32,Santo André,128,Santo André,578.55,-23.636668667594385,-46.49403715534337
11,17,"POLYGON ((-46.4468 -23.6514, -46.4468 -23.6189, -46.46580000000001 -23.6189, -46.46580000000001 -23.6514, -46.4468 -23.6514))",234,234,234,235,Rodolfo Pirani,36,São Paulo,77,São Rafael,566.04,-23.623441675958517,-46.46387900294451
11,18,"POLYGON ((-46.4278 -23.6514, -46.4278 -23.6189, -46.4468 -23.6189, -46.4468 -23.6514, -46.4278 -23.6514))",233,233,233,234,Parque São Rafael,36,São Paulo,77,São Rafael,742.33,-23.631670719547092,-46.446011578896254
12,0,"POLYGON ((-46.7698 -23.6189, -46.7698 -23.5864, -46.7888 -23.5864, -46.7888 -23.6189, -46.7698 -23.6189))",330,330,330,331,Jardim Cambará,36,São Paulo,66,Raposo Tavares,480.2,-23.593127058921908,-46.77223497618355
12,0,"POLYGON ((-46.7698 -23.6189, -46.7698 -23.5864, -46.7888 -23.5864, -46.7888 -23.6189, -46.7698 -23.6189))",460,460,460,461,Jardim Irapuã,38,Taboão da Serra,133,Taboão da Serra,406.71,-23.617801665554943,-46.7800066648466
