ZONA_O,ZONA_D,trip counts
80,339,37.708902
81,56,255.599233
81,60,148.497533
81,64,174.204676
81,68,354.552704
81,74,142.229365
81,82,89.120132
81,83,80.805428
81,97,50.574951
81,340,106.356186
82,64,276.091938
82,66,84.261764
82,67,79.622434
82,68,129.967758
82,69,101.887262
82,71,222.205713
82,73,90.595228
82,78,89.242681
82,81,161.64272599999998
82,83,144.798172
82,87,48.563755
82,95,249.02455600000002
82,96,189.609609
82,102,44.560066
82,268,190.96889
82,300,39.621531
82,339,475.56020800000005
83,68,276.389721
83,80,200.476212
83,81,80.805428
83,82,144.798172
83,87,100.238106
83,89,399.646653
83,96,95.431133
83,101,399.646653
83,339,71.106223
84,57,73.654436
84,86,25.790737
84,93,58.538265
84,125,73.654436
86,84,25.790737
86,89,146.516745
87,32,48.563755
87,36,48.563755
87,73,48.563755
87,77,206.24354
87,80,145.680073
87,82,48.563755
87,83,100.238106
87,132,48.563755
87,339,48.563755
88,5,199.947275
88,79,32.721625
88,90,105.09919
89,80,69.477848
89,83,799.293306
89,86,146.516745
90,82,89.242681
90,88,105.09919
90,100,274.495562
90,240,274.495562
91,93,41.293237
91,138,35.21422800000001
92,93,6.339179
93,43,58.538265
93,84,261.928602
93,91,41.293237
93,92,6.339179
94,102,212.838905
95,77,147.971793
95,82,249.02455600000002
96,69,95.431133
96,80,37.708902
96,82,189.609609
96,83,95.431133
96,106,86.52875300000002
96,340,21.441135
97,69,50.574951
97,81,50.574951
97,127,393.489521
97,339,109.208763
98,100,76.944563
98,125,766.2609669999997
99,100,332.555635
99,462,631.551977
100,34,55.976883
100,90,274.495562
100,98,76.944563
100,99,332.555635
100,104,332.555635
101,82,53.178093
104,100,332.555635
104,106,61.96971
104,107,77.449188
106,37,50.155866
106,96,86.52875300000002
106,104,61.96971
106,334,23.894121
106,338,300.802213
107,104,77.449188
107,335,96.707788
109,111,1129.030892
111,109,1129.030892
122,140,485.014355
125,84,73.654436
125,98,766.2609669999997
126,141,770.062452
127,97,393.489521
128,33,31.030915000000004
128,211,31.858587
130,131,27.047286
130,132,43.674131
131,8,55.298221
131,130,27.047286
131,338,933.963888
132,87,48.563755
132,130,43.674131
133,37,93.962294
135,163,1270.938503
136,156,422.958853
137,139,150.49383899999995
138,91,35.21422800000001
139,30,380.501735
139,137,150.49383899999995
140,122,485.014355
140,141,1014.86131
141,126,770.062452
141,140,1014.86131
145,147,1513.301118
147,145,1513.301118
148,149,350.106964
149,148,350.106964
151,7,1132.703695
151,155,423.042671
152,163,271.691487
155,151,423.042671
156,136,422.958853
156,378,869.6128880000001
157,158,355.589808
158,157,355.589808
161,162,849.2809259999999
161,164,856.4413460000003
162,42,342.324366
162,161,849.2809259999999
163,135,1270.938503
163,152,271.691487
163,164,251.038326
164,6,79.292268
164,12,124.527094
164,40,26.816054
164,161,856.4413460000003
164,163,251.038326
164,165,57.298138
165,128,31.858587
165,164,57.298138
167,208,659.6722589999998
169,170,653.114721
170,169,653.114721
170,177,184.454506
172,173,901.86707
173,172,901.86707
174,180,1013.937561
177,43,66.23555
177,170,184.454506
180,174,1013.937561
180,187,496.052163
181,187,188.28099999999998
182,221,527.489716
182,375,529.529116
184,193,133.349946
187,180,496.052163
187,181,188.28099999999998
188,200,157.912495
193,184,133.349946
193,205,557.398003
196,202,489.938079
196,378,489.938079
197,198,137.25669
198,197,137.25669
199,201,3007.6960390000004
200,188,157.912495
200,206,479.356227
200,208,92.809867
200,396,157.912495
201,199,1532.724811
202,196,489.938079
205,193,557.398003
205,400,349.334633
206,200,321.443732
206,207,157.912495
207,200,157.912495
208,167,659.6722589999998
208,200,92.809867
210,211,1505.188154
211,66,69.2028
211,165,46.21054
211,210,1505.188154
214,46,434.11258
220,16,267.153315
221,182,527.489716
228,229,659.915535
229,228,659.915535
232,262,282.357913
233,264,893.9647669999997
234,264,382.376779
236,1,59.478471
237,241,77.090777
237,247,1846.718748
238,49,71.885533
239,240,854.878402
239,241,77.090777
240,61,298.2383
240,90,274.495562
240,239,854.878402
241,18,77.090777
241,45,77.090777
241,237,77.090777
241,239,160.76378699999998
241,242,982.273848
242,45,257.770412
242,241,982.273848
242,243,491.136924
242,244,1382.626088
242,258,977.415264
243,242,491.136924
244,242,1382.626088
247,237,1846.718748
248,59,251.121363
249,59,879.9941289999997
250,58,145.017124
253,18,34.457348
253,45,34.457348
253,254,34.457348
253,255,34.457348
253,258,31.621063
254,253,34.457348
255,45,1100.141624
255,253,34.457348
255,260,325.938186
258,242,977.415264
258,253,31.621063
259,428,314.077631
260,255,325.938186
262,232,282.357913
262,267,221.57488
264,233,893.9647669999997
264,234,382.376779
267,262,221.57488
268,71,133.916448
268,73,52.941385
268,82,190.96889
268,277,66.958224
268,300,224.546466
